@timestamp,@message,@logStream,@log
2025-11-09 03:14:16.849,"END RequestId: 6474d5e6-bc31-4d35-acc1-78f85e19e247
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:16.849,"REPORT RequestId: 6474d5e6-bc31-4d35-acc1-78f85e19e247	Duration: 1.76 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 119 MB	
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:16.847,"收到事件: {""values"": [[5.9, 3.0, 5.1, 2.3]]}
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:16.847,"进行预测，特征: [[5.9, 3.0, 5.1, 2.3]]
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:16.847,"预测结果: [2]
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:16.846,"START RequestId: 6474d5e6-bc31-4d35-acc1-78f85e19e247 Version: $LATEST
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:16.109,"END RequestId: 15c1c6db-fe3b-4eff-9416-a6f221767f5a
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:16.109,"REPORT RequestId: 15c1c6db-fe3b-4eff-9416-a6f221767f5a	Duration: 1.74 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 119 MB	
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:16.107,"START RequestId: 15c1c6db-fe3b-4eff-9416-a6f221767f5a Version: $LATEST
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:16.107,"收到事件: {""values"": [[5.9, 3.0, 5.1, 2.3]]}
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:16.107,"进行预测，特征: [[5.9, 3.0, 5.1, 2.3]]
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:16.107,"预测结果: [2]
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:15.949,"END RequestId: a5b2af62-d49d-4724-9393-c4a56b8da3fd
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:15.949,"REPORT RequestId: a5b2af62-d49d-4724-9393-c4a56b8da3fd	Duration: 1.89 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 119 MB	
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:15.948,"预测结果: [2]
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:15.947,"START RequestId: a5b2af62-d49d-4724-9393-c4a56b8da3fd Version: $LATEST
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:15.947,"收到事件: {""values"": [[5.9, 3.0, 5.1, 2.3]]}
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:15.947,"进行预测，特征: [[5.9, 3.0, 5.1, 2.3]]
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.837,"REPORT RequestId: 5bc6b2de-63af-455a-8b5f-bb5088be4808	Duration: 1.66 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 119 MB	
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.836,"END RequestId: 5bc6b2de-63af-455a-8b5f-bb5088be4808
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.835,"收到事件: {""values"": [[5.9, 3.0, 5.1, 2.3]]}
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.835,"进行预测，特征: [[5.9, 3.0, 5.1, 2.3]]
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.835,"预测结果: [2]
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.834,"START RequestId: 5bc6b2de-63af-455a-8b5f-bb5088be4808 Version: $LATEST
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.644,"END RequestId: 28bfde73-93f3-4a56-86f1-5eaab0103d95
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.644,"REPORT RequestId: 28bfde73-93f3-4a56-86f1-5eaab0103d95	Duration: 1.69 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 119 MB	
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.643,"预测结果: [2]
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.642,"START RequestId: 28bfde73-93f3-4a56-86f1-5eaab0103d95 Version: $LATEST
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.642,"收到事件: {""values"": [[5.9, 3.0, 5.1, 2.3]]}
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.642,"进行预测，特征: [[5.9, 3.0, 5.1, 2.3]]
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.270,"END RequestId: c51676d4-966d-4616-b485-6c8fc3f58aaf
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.270,"REPORT RequestId: c51676d4-966d-4616-b485-6c8fc3f58aaf	Duration: 1.66 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 119 MB	
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.269,"预测结果: [2]
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.268,"START RequestId: c51676d4-966d-4616-b485-6c8fc3f58aaf Version: $LATEST
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.268,"收到事件: {""values"": [[5.9, 3.0, 5.1, 2.3]]}
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.268,"进行预测，特征: [[5.9, 3.0, 5.1, 2.3]]
",2025/11/09/[$LATEST]147f0c2f3cd84cd9a90d337cfbba4614,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.266,"END RequestId: 3946d185-7d49-4514-84f1-90b20bbe310c
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.266,"REPORT RequestId: 3946d185-7d49-4514-84f1-90b20bbe310c	Duration: 1.77 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 119 MB	
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.265,"收到事件: {""values"": [[5.9, 3.0, 5.1, 2.3]]}
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.265,"进行预测，特征: [[5.9, 3.0, 5.1, 2.3]]
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.265,"预测结果: [2]
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:14.264,"START RequestId: 3946d185-7d49-4514-84f1-90b20bbe310c Version: $LATEST
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:12.958,"END RequestId: 0144a397-a6a9-4eba-a6f1-362cfb52302d
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:12.958,"REPORT RequestId: 0144a397-a6a9-4eba-a6f1-362cfb52302d	Duration: 1.62 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 119 MB	
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:12.956,"START RequestId: 0144a397-a6a9-4eba-a6f1-362cfb52302d Version: $LATEST
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:12.956,"收到事件: {""values"": [[5.9, 3.0, 5.1, 2.3]]}
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:12.956,"进行预测，特征: [[5.9, 3.0, 5.1, 2.3]]
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:12.956,"预测结果: [2]
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:12.828,"END RequestId: 71940aae-6bad-4653-8126-e589f8b343cf
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:12.828,"REPORT RequestId: 71940aae-6bad-4653-8126-e589f8b343cf	Duration: 2.04 ms	Billed Duration: 3 ms	Memory Size: 128 MB	Max Memory Used: 119 MB	
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:12.824,"预测结果: [2]
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:12.822,"START RequestId: 71940aae-6bad-4653-8126-e589f8b343cf Version: $LATEST
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:12.822,"收到事件: {""values"": [[5.9, 3.0, 5.1, 2.3]]}
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:12.822,"进行预测，特征: [[5.9, 3.0, 5.1, 2.3]]
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
2025-11-09 03:14:12.504,"END RequestId: ef8eefb1-fd24-449d-ad92-b1383f0f89d9
",2025/11/09/[$LATEST]7cffb68fca4b44b9bed39dbc146b4ca5,851725476772:/aws/lambda/iris-model-lambda
